2020-11-05 16:11:51,208 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping [] - Adding welcome page template: index
2020-11-05 16:11:51,432 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter [] - Registering beans for JMX exposure on startup
2020-11-05 16:11:51,457 [main] INFO  org.apache.coyote.http11.Http11NioProtocol [] - Starting ProtocolHandler ["http-nio-9999"]
2020-11-05 16:11:51,474 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool [] - Using a shared selector for servlet write/read
2020-11-05 16:11:51,500 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer [] - Tomcat started on port(s): 9999 (http) with context path '/dbExport'
2020-11-05 16:11:51,506 [main] INFO  com.pomzwj.DatabaseExportApplication [] - Started DatabaseExportApplication in 8.31 seconds (JVM running for 13.08)
2020-11-05 16:12:10,931 [http-nio-9999-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/dbExport] [] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2020-11-05 16:12:10,932 [http-nio-9999-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet [] - FrameworkServlet 'dispatcherServlet': initialization started
2020-11-05 16:12:10,980 [http-nio-9999-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet [] - FrameworkServlet 'dispatcherServlet': initialization completed in 48 ms
2020-11-05 16:12:17,373 [http-nio-9999-exec-2] INFO  com.pomzwj.utils.DbConnnecttion [] - 已关闭数据库ResultSet连接
2020-11-05 16:12:17,373 [http-nio-9999-exec-2] INFO  com.pomzwj.utils.DbConnnecttion [] - 已关闭数据库Statement连接
2020-11-05 16:12:17,377 [http-nio-9999-exec-2] INFO  com.pomzwj.utils.DbConnnecttion [] - 已关闭数据库ResultSet连接
2020-11-05 16:12:17,377 [http-nio-9999-exec-2] INFO  com.pomzwj.utils.DbConnnecttion [] - 已关闭数据库Statement连接
2020-11-05 16:12:17,381 [http-nio-9999-exec-2] INFO  com.pomzwj.utils.DbConnnecttion [] - 已关闭数据库ResultSet连接
2020-11-05 16:12:17,381 [http-nio-9999-exec-2] INFO  com.pomzwj.utils.DbConnnecttion [] - 已关闭数据库Statement连接
2020-11-05 16:12:17,385 [http-nio-9999-exec-2] INFO  com.pomzwj.utils.DbConnnecttion [] - 已关闭数据库ResultSet连接
2020-11-05 16:12:17,386 [http-nio-9999-exec-2] INFO  com.pomzwj.utils.DbConnnecttion [] - 已关闭数据库Statement连接
2020-11-05 16:12:17,389 [http-nio-9999-exec-2] INFO  com.pomzwj.utils.DbConnnecttion [] - 已关闭数据库ResultSet连接
2020-11-05 16:12:17,389 [http-nio-9999-exec-2] INFO  com.pomzwj.utils.DbConnnecttion [] - 已关闭数据库Statement连接
2020-11-05 16:12:17,392 [http-nio-9999-exec-2] INFO  com.pomzwj.utils.DbConnnecttion [] - 已关闭数据库ResultSet连接
